iter	RMSE
0	13.99711918
1	13.07940426
2	12.25174986
3	11.57370183
4	10.85974772
5	10.24832489
6	9.739142693
7	9.25931851
8	8.826449347
9	8.422036243
10	8.095533434
11	7.81512213
12	7.55479645
13	7.295164713
14	7.085333839
15	6.892280729
16	6.713550544
17	6.578338346
18	6.450119883
19	6.322275465
20	6.205614268
21	6.098186127
22	5.996567043
23	5.929176855
24	5.85474078
25	5.791871829
26	5.720274292
27	5.660872466
28	5.608440774
29	5.557682892
30	5.512220374
31	5.472058531
32	5.447422106
33	5.41476234
34	5.379740558
35	5.35850222
36	5.333243019
37	5.315604657
38	5.292467319
39	5.272753466
40	5.252951359
41	5.240114386
42	5.217712666
43	5.192919992
44	5.175042776
45	5.158501906
46	5.150837946
47	5.138394057
48	5.125521838
49	5.1150625
50	5.104307574
51	5.096987113
52	5.089687543
53	5.080682064
54	5.070297045
55	5.064830161
56	5.054536093
57	5.041165485
58	5.025203504
59	5.022277564
60	5.012755668
61	4.999367429
62	4.985637678
63	4.978650628
64	4.963659954
65	4.950541291
66	4.942009628
67	4.935758523
68	4.928261958
69	4.923662825
70	4.912856619
71	4.906041184
72	4.887423906
73	4.883045869
74	4.866542309
75	4.857302909
76	4.849086017
77	4.838401645
78	4.829687157
79	4.818606978
80	4.807440272
81	4.796444424
82	4.790292429
83	4.782790176
84	4.777033503
85	4.770169273
86	4.761403216
87	4.755096518
88	4.742543382
89	4.72854968
90	4.726263575
91	4.719023685
92	4.714853144
93	4.710636479
94	4.702577422
95	4.700583225
96	4.694162994
97	4.689366517
98	4.682969508
99	4.678315729
