iter	Passed	Remaining
0	1	175
1	3	167
2	5	164
3	6	160
4	8	157
5	9	153
6	11	150
7	12	146
8	14	144
9	15	142
10	17	140
11	18	138
12	20	136
13	21	134
14	23	133
15	25	131
16	26	129
17	28	128
18	29	126
19	31	124
20	32	123
21	34	121
22	35	120
23	37	119
24	39	117
25	40	115
26	42	113
27	43	112
28	45	111
29	47	110
30	49	109
31	50	107
32	52	106
33	53	104
34	55	102
35	56	101
36	58	99
37	59	96
38	60	95
39	62	93
40	64	92
41	65	90
42	67	89
43	68	87
44	70	86
45	72	84
46	73	82
47	74	80
48	76	79
49	77	77
50	79	76
51	80	74
52	82	72
53	83	71
54	85	69
55	86	68
56	88	66
57	89	64
58	91	63
59	92	61
60	94	60
61	95	58
62	97	57
63	98	55
64	100	54
65	102	52
66	103	51
67	105	49
68	106	47
69	108	46
70	109	44
71	111	43
72	112	41
73	114	40
74	115	38
75	117	37
76	119	35
77	120	34
78	122	32
79	123	30
80	125	29
81	126	27
82	128	26
83	129	24
84	131	23
85	132	21
86	134	20
87	135	18
88	137	16
89	138	15
90	140	13
91	141	12
92	143	10
93	144	9
94	146	7
95	147	6
96	149	4
97	151	3
98	152	1
99	154	0
