iter	Passed	Remaining
0	3	3812
1	6	3085
2	8	2671
3	10	2558
4	12	2546
5	14	2435
6	17	2429
7	19	2407
8	21	2348
9	23	2302
10	25	2325
11	28	2313
12	30	2304
13	34	2434
14	36	2384
15	37	2332
16	39	2295
17	41	2267
18	43	2229
19	44	2194
20	46	2185
21	49	2202
22	51	2194
23	53	2173
24	55	2162
25	57	2152
26	59	2155
27	62	2153
28	64	2147
29	65	2129
30	67	2119
31	69	2099
32	71	2086
33	73	2086
34	75	2083
35	79	2128
36	81	2114
37	83	2102
38	84	2087
39	86	2083
40	88	2072
41	90	2065
42	93	2081
43	95	2072
44	97	2066
45	99	2059
46	100	2046
47	102	2034
48	104	2029
49	107	2050
50	109	2041
51	111	2029
52	113	2024
53	114	2013
54	116	2002
55	118	1992
56	119	1982
57	123	2003
58	125	1994
59	126	1984
60	128	1982
61	130	1973
62	132	1966
63	133	1958
64	135	1953
65	138	1960
66	140	1962
67	142	1956
68	144	1950
69	146	1951
70	149	1951
71	152	1967
72	154	1961
73	156	1952
74	157	1945
75	159	1939
76	162	1943
77	163	1935
78	165	1930
79	168	1939
80	170	1931
81	171	1924
82	172	1909
83	174	1906
84	178	1923
85	181	1927
86	183	1924
87	187	1947
88	190	1945
89	191	1941
90	193	1936
91	196	1936
92	199	1942
93	201	1937
94	202	1931
95	205	1931
96	206	1926
97	208	1919
98	210	1916
99	213	1924
100	215	1918
101	217	1911
102	218	1906
103	220	1900
104	222	1895
105	224	1889
106	228	1903
107	229	1899
108	232	1897
109	234	1893
110	235	1888
111	238	1889
112	239	1883
113	243	1896
114	245	1890
115	247	1884
116	248	1876
117	250	1872
118	252	1867
119	253	1861
120	255	1855
121	258	1856
122	260	1854
123	261	1849
124	263	1843
125	265	1838
126	266	1831
127	268	1827
128	269	1822
129	273	1828
130	274	1823
131	276	1818
132	278	1813
133	280	1810
134	281	1806
135	283	1800
136	285	1795
137	288	1804
138	290	1800
139	292	1797
140	294	1796
141	296	1791
142	298	1787
143	299	1782
144	303	1787
145	305	1784
146	306	1781
147	309	1781
148	311	1780
149	314	1780
150	319	1798
151	321	1796
152	324	1794
153	326	1790
154	327	1786
155	329	1782
156	331	1780
157	334	1779
158	335	1777
159	337	1773
160	339	1766
161	341	1766
162	343	1763
163	345	1760
164	348	1762
165	350	1758
166	351	1754
167	353	1750
168	355	1745
169	356	1741
170	358	1737
171	360	1737
172	363	1735
173	364	1731
174	366	1727
175	368	1723
176	370	1720
177	371	1716
178	373	1712
179	375	1709
180	378	1710
181	379	1706
182	381	1702
183	383	1699
184	385	1696
185	386	1693
186	388	1689
187	392	1693
188	393	1689
189	395	1686
190	397	1683
191	399	1679
192	400	1675
193	402	1671
194	404	1668
195	407	1672
196	409	1669
197	411	1665
198	413	1663
199	415	1662
200	417	1659
201	419	1656
202	422	1660
203	425	1658
204	426	1655
205	428	1652
206	430	1650
207	433	1650
208	435	1646
209	438	1649
210	440	1646
211	441	1642
212	443	1638
213	445	1635
214	446	1631
215	448	1627
216	450	1624
217	453	1626
218	455	1622
219	456	1619
220	458	1615
221	460	1613
222	461	1609
223	463	1605
224	465	1602
225	468	1604
226	470	1601
227	471	1597
228	473	1595
229	475	1591
230	477	1588
231	478	1584
